Date,Open,High,Low,Close,Adj Close,Volume
1994-04-01,15.406250,15.906250,15.093750,15.718750,6.463589,107590400
1994-05-01,15.718750,15.718750,15.093750,15.281250,6.283688,84946400
1994-06-01,15.250000,15.593750,14.031250,14.187500,5.901651,164724800
1994-07-01,14.281250,14.968750,14.125000,14.875000,6.187635,75602000
1994-08-01,14.875000,15.218750,14.500000,14.875000,6.187635,92463600
1994-09-01,14.875000,15.156250,14.343750,14.375000,6.052426,101888400
1994-10-01,14.406250,15.812500,14.062500,15.718750,6.618196,109044400
1994-11-01,15.562500,15.687500,14.781250,15.093750,6.355049,91242800
1994-12-01,15.031250,15.531250,14.781250,15.187500,6.473464,96888400
1995-01-01,15.125000,16.000000,15.031250,15.625000,6.659947,85365200
1995-02-01,15.656250,16.093750,15.343750,15.968750,6.806460,91049600
1995-03-01,15.968750,16.750000,15.687500,16.656250,7.185380,110820400
1995-04-01,16.625000,17.562500,16.500000,17.375000,7.495446,109906800
1995-05-01,17.437500,17.968750,17.343750,17.843750,7.697659,116496800
1995-06-01,17.812500,18.093750,17.125000,17.656250,7.697948,123768800
1995-07-01,17.656250,18.468750,17.656250,18.125000,7.902320,99212800
1995-08-01,18.093750,18.093750,17.031250,17.187500,7.493579,102002400
1995-09-01,17.156250,18.562500,17.156250,18.062500,7.959293,101004400
1995-10-01,18.031250,19.218750,17.843750,19.093750,8.413714,99992400
1995-11-01,19.093750,20.031250,18.656250,19.343750,8.523879,88534400
1995-12-01,19.312500,21.500000,19.281250,20.281250,9.025327,135798000
1996-01-01,20.062500,21.250000,19.406250,20.062500,8.927985,132827200
1996-02-01,20.062500,21.156250,19.531250,19.875000,8.844545,131040000
1996-03-01,19.906250,21.500000,19.406250,20.375000,9.151259,159090800
1996-04-01,20.531250,21.500000,19.968750,21.250000,9.544264,137387200
1996-05-01,21.156250,22.187500,20.500000,21.187500,9.516193,141999200
1996-06-01,21.125000,21.875000,20.843750,21.718750,9.847833,111288400
1996-07-01,21.750000,22.531250,20.343750,20.562500,9.323559,143424400
1996-08-01,20.546875,21.250000,20.000000,20.375000,9.238539,144430400
1996-09-01,20.750000,21.812500,20.687500,20.812500,9.528010,121342000
1996-10-01,20.812500,22.625000,20.718750,22.156250,10.143191,133687200
1996-11-01,22.187500,23.906250,21.937500,23.593750,10.801276,110096400
1996-12-01,23.531250,25.312500,23.281250,24.500000,11.317043,132886000
1997-01-01,24.562500,26.750000,24.125000,25.906250,11.966611,185108000
1997-02-01,25.906250,26.312500,24.968750,25.062500,11.576873,124623200
1997-03-01,24.750000,27.812500,24.718750,26.937500,12.539267,156667200
1997-04-01,26.750000,28.500000,24.937500,28.312500,13.179315,163431600
1997-05-01,27.875000,30.125000,27.312500,29.625000,13.790283,142339000
