Regular Gasoline Retail Prices,,
https://www.eia.gov/outlooks/steo/realprices/,,
00:35:43 GMT+0200 (Central European Summer Time),,
Source: U.S. Energy Information Administration,,
Month,Real Values,Nominal Values
Nov 1978,2.99,0.7
Oct 1978,2.98,0.69
Sep 1978,3,0.69
Aug 1978,3,0.68
Jul 1978,2.99,0.67
Jun 1978,2.96,0.66
May 1978,2.95,0.66
Apr 1978,2.95,0.65
Mar 1978,2.96,0.65
Feb 1978,2.98,0.65
Jan 1978,3,0.65
Dec 1977,3.1,0.67
Nov 1977,3.11,0.66
Oct 1977,3.13,0.67
Sep 1977,3.15,0.67
Aug 1977,3.17,0.67
Jul 1977,3.18,0.67
Jun 1977,3.19,0.67
May 1977,3.18,0.66
Apr 1977,3.15,0.65
Mar 1977,3.13,0.64
Feb 1977,3.12,0.64
Jan 1977,3.1,0.63
Dec 1976,3.11,0.63
Nov 1976,3.14,0.63
Oct 1976,3.15,0.63
Sep 1976,3.17,0.63
Aug 1976,3.18,0.63
Jul 1976,3.17,0.62
Jun 1976,3.15,0.62
May 1976,3.09,0.6
Apr 1976,3.06,0.59
Mar 1976,3.08,0.59
Feb 1976,3.12,0.6
Jan 1976,3.15,0.61
