U.S. Exports of Crude Oil Monthly
https://www.eia.gov/opendata/v1/qb.php?sdid=PET.MCREXUS1.M
00:27:02 GMT+0200 (Central European Summer Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCREXUS1.M Thousand Barrels
Jan 1967,27
Dec 1966,121
Nov 1966,88
Oct 1966,95
Sep 1966,83
Aug 1966,186
Jul 1966,240
Jun 1966,130
May 1966,1
Apr 1966,290
Mar 1966,108
Feb 1966,0
Jan 1966,135
Dec 1965,8
Nov 1965,94
Oct 1965,182
Sep 1965,0
Aug 1965,0
Jul 1965,421
Jun 1965,68
May 1965,0
Apr 1965,187
Mar 1965,3
Feb 1965,45
Jan 1965,89
Dec 1964,123
Nov 1964,0
Oct 1964,88
Sep 1964,71
Aug 1964,118
Jul 1964,90
Jun 1964,152
May 1964,174
Apr 1964,100
Mar 1964,233
Feb 1964,98
Jan 1964,116
Dec 1963,166
Nov 1963,106
Oct 1963,179
Sep 1963,100
Aug 1963,178
Jul 1963,146
Jun 1963,123
May 1963,140
Apr 1963,170
Mar 1963,95
Feb 1963,116
Jan 1963,179
Dec 1962,145
Nov 1962,260
Oct 1962,3
Sep 1962,91
Aug 1962,184
Jul 1962,190
Jun 1962,42
May 1962,340
Apr 1962,87
Mar 1962,208
Feb 1962,141
Jan 1962,99
Dec 1961,271
Nov 1961,400
Oct 1961,190
Sep 1961,130
Aug 1961,309
Jul 1961,178
Jun 1961,435
May 1961,229
Apr 1961,316
Mar 1961,339
Feb 1961,295
Jan 1961,135
Dec 1960,512
Nov 1960,0
Oct 1960,352
Sep 1960,234
Aug 1960,86
Jul 1960,248
Jun 1960,436
May 1960,127
Apr 1960,270
Mar 1960,260
Feb 1960,298
Jan 1960,264
Dec 1959,258
Nov 1959,132
Oct 1959,258
Sep 1959,151
Aug 1959,237
Jul 1959,174
Jun 1959,192
May 1959,267
Apr 1959,230
Mar 1959,178
Feb 1959,97
Jan 1959,352
Dec 1958,74
Nov 1958,292
Oct 1958,330
Sep 1958,170
Aug 1958,334
Jul 1958,308
Jun 1958,216
May 1958,503
Apr 1958,643
Mar 1958,838
Feb 1958,213
Jan 1958,425
Dec 1957,1088
Nov 1957,926
Oct 1957,1007
Sep 1957,739
Aug 1957,1036
Jul 1957,1197
Jun 1957,1745
May 1957,3698
Apr 1957,9232
Mar 1957,14100
Feb 1957,7909
Jan 1957,7566
Dec 1956,10544
Nov 1956,8551
Oct 1956,1444
Sep 1956,805
Aug 1956,1179
Jul 1956,748
Jun 1956,857
May 1956,1236
Apr 1956,610
Mar 1956,1155
Feb 1956,501
Jan 1956,994
Dec 1955,1040
Nov 1955,872
Oct 1955,871
Sep 1955,870
Aug 1955,1191
Jul 1955,887
Jun 1955,1053
May 1955,1166
Apr 1955,1431
Mar 1955,833
Feb 1955,976
Jan 1955,381
Dec 1954,797
Nov 1954,1047
Oct 1954,1521
Sep 1954,509
Aug 1954,1349
Jul 1954,1073
Jun 1954,1372
May 1954,1258
Apr 1954,1418
Mar 1954,873
Feb 1954,795
Jan 1954,1587
Dec 1953,1378
Nov 1953,1052
Oct 1953,1178
Sep 1953,1109
Aug 1953,1321
Jul 1953,1232
Jun 1953,1824
May 1953,1611
Apr 1953,2833
Mar 1953,2171
Feb 1953,2011
Jan 1953,2211
Dec 1952,2960
Nov 1952,1805
Oct 1952,1526
Sep 1952,1664
Aug 1952,1966
Jul 1952,1876
Jun 1952,2388
May 1952,1718
Apr 1952,3340
Mar 1952,2939
Feb 1952,2211
Jan 1952,2303
Dec 1951,2147
Nov 1951,1858
Oct 1951,1947
Sep 1951,2199
Aug 1951,2361
Jul 1951,2320
Jun 1951,2342
May 1951,1791
Apr 1951,3615
Mar 1951,2640
Feb 1951,2471
Jan 1951,2913
Dec 1950,2917
Nov 1950,3229
Oct 1950,4033
Sep 1950,2654
Aug 1950,3096
Jul 1950,3274
Jun 1950,3095
May 1950,2946
Apr 1950,2968
Mar 1950,2153
Feb 1950,2328
Jan 1950,2130
Dec 1949,2722
Nov 1949,3010
Oct 1949,2916
Sep 1949,2619
Aug 1949,3403
Jul 1949,2866
Jun 1949,3071
May 1949,2872
Apr 1949,3655
Mar 1949,1866
Feb 1949,1942
Jan 1949,2127
Dec 1948,3068
Nov 1948,3192
Oct 1948,3404
Sep 1948,3362
Aug 1948,3974
Jul 1948,3661
Jun 1948,3419
May 1948,3362
Apr 1948,3538
Mar 1948,3138
Feb 1948,2626
Jan 1948,2992
Dec 1947,4520
Nov 1947,3844
Oct 1947,3712
Sep 1947,4087
Aug 1947,4139
Jul 1947,5184
Jun 1947,3758
May 1947,4789
Apr 1947,3999
Mar 1947,3257
Feb 1947,2585
Jan 1947,2481
Dec 1946,3167
Nov 1946,3325
Oct 1946,4244
Sep 1946,4152
Aug 1946,4368
Jul 1946,4290
Jun 1946,3323
May 1946,3614
Apr 1946,3618
Mar 1946,2720
Feb 1946,1997
Jan 1946,1932
Dec 1945,2329
Nov 1945,3399
Oct 1945,3603
Sep 1945,3166
Aug 1945,3308
Jul 1945,3533
Jun 1945,2915
May 1945,3208
Apr 1945,2663
Mar 1945,1973
Feb 1945,1599
Jan 1945,1302
Dec 1944,1824
Nov 1944,3001
Oct 1944,2990
Sep 1944,3354
Aug 1944,3387
Jul 1944,3516
Jun 1944,3642
May 1944,3136
Apr 1944,2891
Mar 1944,2105
Feb 1944,1904
Jan 1944,2488
Dec 1943,2084
Nov 1943,3415
Oct 1943,3370
Sep 1943,3441
Aug 1943,4011
Jul 1943,4932
Jun 1943,4325
May 1943,4707
Apr 1943,4155
Mar 1943,2469
Feb 1943,2416
Jan 1943,2017
Dec 1942,2043
Nov 1942,2826
Oct 1942,3264
Sep 1942,3240
Aug 1942,4073
Jul 1942,3370
Jun 1942,3591
May 1942,3709
Apr 1942,2973
Mar 1942,1887
Feb 1942,1336
Jan 1942,1522
Dec 1941,2540
Nov 1941,2539
Oct 1941,2540
Sep 1941,2900
Aug 1941,3275
Jul 1941,3651
Jun 1941,3934
May 1941,4339
Apr 1941,2503
Mar 1941,1988
Feb 1941,1342
Jan 1941,1687
Dec 1940,2084
Nov 1940,3415
Oct 1940,3370
Sep 1940,3441
Aug 1940,3862
Jul 1940,4597
Jun 1940,3876
May 1940,4389
Apr 1940,2877
Mar 1940,2618
Feb 1940,1781
